Database,Item Type,Publication Year,Title,Venue,Venue Rank,Abstract,Keywords
IEEE,conferencePaper,2023,Title Page,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Title Page,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Copyright Page,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Table of Contents,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Message from the General Chair and Program Co-Chairs,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Organizing Committee,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Program Committee,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,Steering Committee,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,,
IEEE,conferencePaper,2023,"Keynote: In Varietate Concordia: How Software Visualization and Information Visualization Have Evolved From, Around, and Along Each Other",VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,"Software visualization (softvis) and information visualization (infovis) have a long, interconnected, and complex joint history. Originally appearing as a subdomain of infovis which focuses on solving problems coming from the software engineering domain, softvis has grown in the last two decades to become a selfstanding field with distinct challenges, key results, events, and community. In the same time, the independent growth of the two fields has made the transfer of ideas, techniques, methods, application cases, and researchers between the two domains increasingly challenges. In this talk, I will present a history of this highly dynamic process and argue about the need for raprochemment of infovis and softvis. This need is supported by two key aspects identified and further discussed: (1) Complementarity of the two fields advocates for more interaction, as shown by success stories from softvis which led to entirely novel branches of development into the infovis field and, conversely, recent key developments in infovis which offer strong potential to be picked up to address existing key challenges in softvis. (2) Commonality, in terms of both fields essentially aiming to solve very similar visualization problems that address very similar data and using related visualization pipelines, advocates on an increasingly joint approach in their further development.",
IEEE,conferencePaper,2023,A Visualization for Client-Server Architecture Assessement,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,"Maintaining large legacy systems often requires understanding their architecture. This is important since legacy system architecture decay over time and architecture violations may dramatically impact planned renovation actions. Merely reading source files is time-consuming and often highly inefficient. Visualizations have been proposed as a tool to support archi-tecture understanding. Some software architecture visualizations decompose the software system architecture into layers, components, or slices from a structural viewpoint. Such visualizations, however, do not take into account the specificities of client-server applications. They do not help maintainers identify and understand software architecture violations. In this paper, we propose Cliservo, a new visualization to help software main-tainers detect architectural violations in client-server systems. Cliservo classifies client-server entities into different levels of dependencies, shared entities, or ambiguous entities (e.g., entities that belong abnormally to different layers). Cliservo identifies and presents entities in their corresponding layers from two distinct viewpoints: global overview entities and violations, i.e ambiguous entities and illegal dependencies between layers. We validated our approach on three real-world industrial projects with access to their maintainers. We report the findings of 91 ambiguous entities, 29 purportedly shared and idle entities, 24 and 82 elements defined as shared but only used by the client or server, and 12 relations violating the layered architecture.",Client-server;visualization;architectural violation
IEEE,conferencePaper,2023,Visualizing Kubernetes Distributed Systems: An Exploratory Study,VISSOFT - International Workshop on Visualizing Software for Understanding and Analysis,B,"Distributed applications running on virtualization- based systems and cloud computing have become popular solutions, allowing developers to focus on application logic rather than dealing with the complexities of distributed systems. However, these applications often become increasingly complex, presenting multiple management challenges. To address this issue, software visualization approaches offer valuable solutions by pro-viding real-time insights into resources and their functionalities, offering a comprehensive overview. This study aims to analyze and evaluate existing software visualization tools for distributed applications on the Kubernetes platform. The objective is to comprehensively examine these tools' features, capabilities, and limitations to understand their effectiveness in visualizing complex distributed systems. Our findings provide valuable insights into the strengths and weaknesses of the available visualization tools, enabling researchers and practitioners to make informed decisions and advancements in software visualization for distributed applications on the Kubernetesplatform. Our research identified eight Kubernetes visualization tools, which were examined and compared based on relevant char-acteristics related to distributed applications and software vi-sualization standards. However, it is worth noting that despite the excellent work done by the community in establishing these first proposals, these tools currently only support, on average, a visualization of 9 % of the total resource types available, as mentioned in the official documentation. Therefore, we propose guidelines followed by a synthesized visualization that can guide further research and development in this area. Our study will assist users in selecting the most suitable Kubernetes visualization tool and encourage researchers and the community to explore new approaches in Kubernetes visualization.",software visualization;exploratory study;distributed systems;kubernetes
