Year,Metaverse
2023,Mirror World
2023,Augmented Reality
2023,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2023,Augmented Reality
2023,Virtual World
2022,Virtual World
2022,"Mirror World,Augmented Reality,Lifelogging"
2022,Augmented Reality
2021,"Virtual World,Lifelogging"
2021,Augmented Reality
2021,Virtual World
2021,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2020,"Virtual World,Lifelogging"
2019,Augmented Reality
2019,Virtual World
2019,"Virtual World,Lifelogging"
2017,Augmented Reality
2017,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2017,Augmented Reality
2016,"Augmented Reality,Lifelogging"
2015,Augmented Reality
2023,"Virtual World,Lifelogging"
2023,"Virtual World,Mirror World,Lifelogging"
2023,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2023,Virtual World
2023,Virtual World
2023,Augmented Reality
2023,Virtual World
2023,Virtual World
2023,Virtual World
2023,"Virtual World,Mirror World,Lifelogging"
2023,Mirror World
2022,Virtual World
2022,Virtual World
2022,"Virtual World,Mirror World,Augmented Reality"
2022,"Virtual World,Lifelogging"
2022,Virtual World
2021,"Virtual World,Lifelogging"
2021,Virtual World
2021,Virtual World
2021,Virtual World
2019,"Augmented Reality,Lifelogging"
2019,"Augmented Reality,Lifelogging"
2019,"Virtual World,Lifelogging"
2018,Augmented Reality
2016,Augmented Reality
2015,"Augmented Reality,Lifelogging"
2015,Augmented Reality
2015,Virtual World
2015,Augmented Reality
2014,"Augmented Reality,Lifelogging"
2023,"Virtual World,Mirror World,Lifelogging"
2023,Virtual World
2022,Augmented Reality
2019,"Mirror World,Augmented Reality,Lifelogging"
2023,Augmented Reality
2023,"Virtual World,Mirror World,Lifelogging"
2022,"Mirror World,Augmented Reality"
2014,"Augmented Reality,Lifelogging"
2023,Virtual World
2023,"Virtual World,Lifelogging"
2023,"Virtual World,Lifelogging"
2023,"Augmented Reality,Lifelogging"
2023,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2023,Virtual World
2023,"Augmented Reality,Lifelogging"
2023,"Virtual World,Mirror World,Lifelogging"
2023,"Augmented Reality,Lifelogging"
2023,"Virtual World,Lifelogging"
2022,"Virtual World,Lifelogging"
2022,"Mirror World,Augmented Reality,Lifelogging"
2022,"Mirror World,Augmented Reality"
2022,"Virtual World,Lifelogging"
2022,"Virtual World,Lifelogging"
2021,"Mirror World,Lifelogging"
2021,"Virtual World,Lifelogging"
2021,"Virtual World,Lifelogging"
2021,"Virtual World,Mirror World,Lifelogging"
2021,Augmented Reality
2021,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2021,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2020,"Virtual World,Lifelogging"
2020,"Augmented Reality,Lifelogging"
2019,"Virtual World,Mirror World,Augmented Reality,Lifelogging"
2018,"Virtual World,Lifelogging"
2016,"Virtual World,Lifelogging"
2015,"Augmented Reality,Lifelogging"
