Year,Property,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,Count of Property,Column Labels,,
2023,Privacy,,Row Labels,Privacy,Security,Grand Total
2023,Security,,2014,0,2,2
2022,Privacy,,2015,3,3,6
2022,Security,,2016,2,1,3
2022,Privacy,,2017,0,3,3
2021,Privacy,,2018,1,1,2
2021,Privacy,,2019,3,5,8
2021,Security,,2020,1,2,3
2021,Security,,2021,5,10,15
2020,Security,,2022,7,8,15
2019,Security,,2023,14,16,30
2019,Security,,Grand Total,36,51,87
2019,Security,,,,,
2017,Security,,,,,
2017,Security,,,,,
2017,Security,,,,,
2016,Privacy,,,,,
2015,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Security,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2023,Privacy,,,,,
2022,Security,,,,,
2022,Privacy,,,,,
2022,Security,,,,,
2022,Security,,,,,
2022,Security,,,,,
2021,Security,,,,,
2021,Security,,,,,
2021,Security,,,,,
2021,Security,,,,,
2019,Privacy,,,,,
2019,Security,,,,,
2019,Security,,,,,
2018,Security,,,,,
2016,Security,,,,,
2015,Privacy,,,,,
2015,Security,,,,,
2015,Security,,,,,
2015,Privacy,,,,,
2014,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2022,Security,,,,,
2019,Privacy,,,,,
2023,Security,,,,,
2023,Privacy,,,,,
2022,Security,,,,,
2014,Security,,,,,
2023,Privacy,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Security,,,,,
2023,Privacy,,,,,
2023,Security,,,,,
2022,Privacy,,,,,
2022,Privacy,,,,,
2022,Privacy,,,,,
2022,Security,,,,,
2022,Privacy,,,,,
2021,Privacy,,,,,
2021,Security,,,,,
2021,Privacy,,,,,
2021,Privacy,,,,,
2021,Security,,,,,
2021,Security,,,,,
2021,Security,,,,,
2020,Privacy,,,,,
2020,Security,,,,,
2019,Privacy,,,,,
2018,Privacy,,,,,
2016,Privacy,,,,,
2015,Security,,,,,
