Title,Abstract,Keywords
World-Driven Access Control for Continuous Sensing,"Modern s increasingly rely on continuous monitoring of video, audio, or other   to provide their functionality, particularly in s such as the Microsoft Kinect and Google Glass. Continuous sensing by untrusted s poses significant privacy challenges for both  s and bystanders. Even honest s will struggle to manage  permissions using existing approaches.We propose a general, extensible framework for controlling access to   on multi- continuous sensing s. Our approach, world-driven access control, allows -world objects to explicitly specify access policies. This approach relieves the 's permission management burden while mediating access at the granularity of objects rather than full  streams. A trusted policy module on the  senses policies in the world and modifies s' ""views"" accordingly. For example, world-driven access control allows the  to automatically stop recording in bathrooms or remove bystanders from video frames,without the  prompted to specify or activate such policies. To convey and authenticate policies, we introduce passports, a new kind of certificate that includes both a policy and optionally the code for recognizing a -world object.We implement a proto  and use it to  the feasibility of world-driven access control in practice. Our evaluation suggests that world-driven access control can effectively reduce the 's permission management burden in emerging continuous sensing s. Our investigation also surfaces key challenges for future access control mechanisms for continuous sensing s.",wearable; ; access control; permissions; continuous sensing
SurroundWeb: Mitigating Privacy Concerns in a 3D Web Browser," s that mix digital and -world objects are becoming ity, but they raise serious privacy concerns as they require -time  input. These s are already  on smartphones and game consoles via Kinect, and will eventually emerge on the web . However, browsers do not expose the display interfaces needed to render  s. Previous security research focuses on controlling  access to  input alone, and do not deal with display interfaces. Recent research in human computer interactions has explored a variety of high-level rendering interfaces for  s, but these interfaces reveal sensitive  to the . Bringing  s to the web requires a high-level interface that mitigates privacy concerns. This paper s Surround Web, the first 3D web browser, which provides the novel functionality of rendering web content onto a room while tackling many of the inherent privacy challenges. Following the principle of least privilege, we propose three abstractions for  rendering: 1) the room skeleton lets s place content in response to the physical dimensions and locations of render able surfaces in a room, 2) the detection sandbox lets s declaratively place content near recognized objects in the room without revealing if the object is , and 3) satellite screens let s display content across s registered with Surround Web. Through  surveys, we validate that these abstractions limit the amount of revealed  to an acceptable degree. In addition, we  that a wide range of  s can be implemented with acceptable performance.",;JavaScript;web browser;projection mapping
"Prepose: Privacy, Security, and Reliability for -Based Programming","With the rise of s such as the Microsoft Kinect, Leap , and hand  s in phones (i.e., Samsung Galaxy S6), -based interfaces have become practical. Unfortunately, today, to recognize such s, s must have access to depth and video of the , exposing sensitive  about the  and her environment. Besides these privacy concerns, there are also security threats in -based s, such as multiple s registering the same , leading to a conflict (akin to Clickjacking on the web). We address these security and privacy threats with Prepose, a novel domain-specific language (DSL) for easily building  recognizers, combined with a  architecture that protects privacy, security, and reliability with untrusted s. We run Prepose code in a trusted core, and only return specific  events to s. Prepose is specifically designed to enable precise and sound static analysis using SMT solvers, allowing the  to check security and reliability properties before running a  recognizer. We demonstrate that Prepose is expressive by creating s in three reative domains: physical therapy, tai-chi, and ballet. We further  that runtime  matching in Prepose is fast, creating no noticeable lag, as measured on traces from Microsoft Kinect runs. To  that  checking at the time of submission to a  store is fast, we developed a total of four Z3-based static analyses to test for basic  safety and internal validity, to make sure the so-called protected s are not overridden, and to check inter- conflicts. Our static analysis scales well in practice: safety checking is under 0.5 seconds per , average validity checking time is only 188ms, lastly, for 97% of the cases, the conflict detection time is below 5 seconds, with only one query taking longer than 15 seconds.",;domain-specific language;kinect;security;privacy
Securing  Output," (AR) technologies, such as Microsoft's HoloLens head-mounted display and AR-enabled car windshields, are rapidly emerging. AR s provide s with   s by capturing input from a 's surroundings and overlaying  output on the 's perception of the  world. These s enable s to interact with and perceive  content in fundamentally new ways. However, the  nature of AR s raises serious security and privacy concerns. Prior work has focused primarily on input privacy risks stemming from s with unrestricted access to  . However, the risks associated with malicious or buggy AR output remain largely unexplored. For example, an AR windshield  could intentionally or accidentally obscure oncoming vehicles or safety-critical output of other AR s. In this work, we address the fundamental challenge of securing AR output in the face of malicious or buggy s. We design, proto, and evaluate Arya, an AR  that controls  output according to policies specified in a constrained yet expressive policy framework. In doing so, we  and overcome numerous challenges in securing AR output.",security;
Towards Security and Privacy for Multi- : Foundations with End s,"  (AR) technologies are becoming a ity. Prior works have identified security and privacy risks raised by these technologies, primarily considering individual s or AR s. However, we make two key observations: (1) s will not always use AR in isolation, but also in ecos of other s, and (2) since  AR s have only recently become available, the risks of AR have been largely hypothetical to date. To provide a foundation for understanding and addressing the security and privacy challenges of emerging AR technologies, grounded in the s of  s, we conduct a qualitative lab  with an  AR headset, the Microsoft HoloLens. We conduct our  in pairs - 22 participants across 11 pairs - wherein participants engage in paired and individual (but physically co-located) HoloLens activities. Through semi-structured interviews, we explore participants' security, privacy, and other concerns, raising key findings. For example, we find that despite the HoloLens's limitations, participants were easily immersed, treating  objects as  (e.g., stepping around them for fear of tripping). We also uncover numerous security, privacy, and safety concerns unique to AR (e.g., deceptive  objects misleading s about the  world), and a need for access control among s to manage shared physical spaces and  content embedded in those spaces. Our findings give us the opportunity to  broader lessons and key challenges to inform the design of emerging single-and multi- AR technologies.",;multi  interaction;privacy;security; studies
SoK: Authentication in Augmented and ," (AR) and  (VR) s are emerging as prominent contenders to todayâ€™s personal computers. As personal s, s will use AR and VR to store and access their sensitive  and thus will need secure and usable ways to authenticate. In this paper, we evaluate the state-of-the-art of authentication mechanisms for AR/VR s by atizing research efforts and practical deployments. By ing sâ€™ s with authentication on AR and VR, we gain insight into the important properties needed for authentication on these s. We then use these properties to perform a comprehensive evaluation of AR/VR authentication mechanisms both proposed in literature and used in practice. In all, we synthesize a coherent picture of the current state of authentication mechanisms for AR/VR s. We draw on our findings to provide concrete research directions and advice on implementing and evaluating future authentication methods.",
Privacy Leakage via Unrestricted -Position s in the Age of : A  of Snooping d Input on  Keyboards," (VR) has gained popularity in numerous fields, including gaming, social interactions, shopping, and education. In this paper, we conduct a comprehensive  to assess the trustworthiness of the embedded s on VR, which embed various forms of sensitive  that may put sâ€™ privacy at risk. We find that accessing most on-board s (e.g., , position, and button s) on VR SDKs/APIs, such as OpenVR, Oculus , and WebXR, requires no security permission, exposing a huge attack surface for an adversary to steal the â€™s privacy. We validate this vulnerability through developing malware programs and malicious websites and specifically explore to what extent it exposes the â€™s  in the context of keystroke snooping. To examine its actual threat in practice, the adversary in the considered attack  doesnâ€™t possess any labeled  from the  nor knowledge about the â€™s VR settings. Extensive experiments, involving two mainstream VR s and four keyboards with different typing mechanisms, demonstrate that our proof-of-concept attack can recognize the â€™s  typing with over 89.7% accuracy. The attack can recover the â€™s passwords with up to 84.9% recognition accuracy if three attempts are allowed and achieve an average of 87.1% word recognition rate for paragraph inference. We hope this  will help the community gain awareness of the vulnerability in the  management of current VR s and provide insights to facilitate the future design of more comprehensive and restricted  access control mechanisms.",keystroke-inference;-ity;cybersecurity
Low-effort VR Headset  Authentication Using Head-reverberated Sounds with Replay Resistance,"While  (VR) s are becoming increasingly common, efficiently verifying a VR   before granting personal access is still a challenge. Existing VR authentication methods require s to enter PINs or draw graphical passwords using controllers. Though the entry is in the  space, it can be observed by others in proximity and is subject to critical security issues. Furthermore, the in-air hand movements or handheld controller-based authentications require active  participation and are not time-efficient. This work proposes a low-effort VR  authentication  based on the unique skull-reverberated sounds, which can be acquired when the  wears the VR . Specifically, when the  puts on the VR  or is wearing it to log into an online account, the proposed  actively emits an ultrasonic signal to initiate the authentication session. The signal returning to the VR â€™s microphone has been reverberated by the â€™s head, which is unique in size, skull shape and mass. We thus extract head biometric  from the received signal for unobtrusive VR  authentication.Though active acoustic sensing has been broadly used on mobile s, no prior work has ever successfully applied such techniques to commodity VR s. Because VR s are designed to provide s with  immersion, the echo sounds used for active sensing are unwanted and severely suppressed. The raw audio before this process is also not accessible without kernel/hardware modifications. Thus, our work further solves the challenge of active acoustic sensing under echo cancellation to enable deploying our  on off-the-shelf VR s. Additionally, we  that the echo cancellation mechanism is naturally good to prevent acoustic replay attacks. The proposed  is developed based on an autoencoder and a convolutional neural network for biometric  extraction and recognition. Experiments with a standalone and a mobile phone VR headset  that our  efficiently verifies a  and is also replay-resistant.",;Authentication;Biometric
OcuLock: Exploring Human Visual  for Authentication in  Head-mounted Display,"The increasing popularity of  (VR) in a wide spectrum of s has generated sensitive personal  such as medical records and credit card . While protecting such  from unauthorized access is critical, directly applying traditional authentication methods (e.g., PIN) through new VR input modalities such as remote controllers and head navigation would cause security issues. The authentication action can be purposefully observed by attackers to infer the authentication input. Unlike any other mobile s, VR s   via a head-mounted display (HMD) that fully covers s' eye area without public exposure. Leveraging this feature, we explore human visual  (HVS) as a novel biometric authentication tailored for VR s. While previous works used eye globe movement (gaze) to authenticate smartphones or PCs, they suffer from a high error rate and low stability since eye gaze is highly dependent on cognitive states. In this paper, we explore the HVS as a whole to consider not just the eye globe movement but also the eyelid, extraocular muscles, cells, and surrounding nerves in the HVS. Exploring HVS biostructure and unique HVS features triggered by  VR content can enhance authentication stability. To this end, we  OcuLock, an HVS-based  for reliable and unobservable VR HMD authentication. OcuLock is empowered by an electrooculography (EOG) based HVS sensing framework and a record-comparison driven authentication scheme. Experiments through 70 subjects  that OcuLock is resistant against common s of attacks such as impersonation attack and statistical attack with Equal Error Rates as low as 3.55% and 4.97% respectively. More importantly, OcuLock maintains a stable performance over a 2-month period and is preferred by s when compared to other potential approaches.",
SoundLock: A Novel  Authentication Scheme for VR s Using Auditory-Pupillary Response," (VR) has n promising potential in many s, such as e-business, healthcare, and social networking. Rich  regarding s’ activities and online accounts is stored in VR s. If they are carelessly unattended, adversarial access will cause  breaches and other critical consequences. Practical  authentication schemes for VR s are in dire need. Current solutions, including passwords, digital PINs, and pattern locks, mostly follow conventional approaches for general personal s. They have been criticized for deficits in both security and usability. In this work, we propose SoundLock, a novel  authentication scheme for VR s using auditory-pupillary response as biometrics. During authentication, auditory stimuli are ed to the  via the VR headset. The corresponding pupillary response is captured by the integrated eye tracker. ’s legitimacy is then determined by comparing the response with the template generated during the enrollment stage. To strike a balance between security and usability in the scheme design, an optimization problem is formulated. Due to its nonlinearity, a two-stage heuristic algorithm is proposed to solve it efficiently. The solution provides necessary guidance for selecting effective auditory stimuli and determining their corresponding lengths. We demonstrate through extensive in-field experiments that SoundLock outperforms state-of-the-art biometric solutions with FAR (FRR) as low as 0.76%(0.91%) and is well received among participants in the  .",
